Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Track-x,Track-y,Track-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Annual efficiency,
1176,184.58,352.10,0.00,3.95,7.53,150.00,-0.273,-0.584,0.764,0.9500,0.9500,0.7529,0.8760,0.9523,1.0000,1.0000,1.0000,0.6998,
1531,-64.76,466.48,0.00,-1.17,8.42,150.00,0.050,-0.662,0.748,0.9500,0.9500,0.7351,0.8609,0.9460,1.0000,1.0000,1.0000,0.7005,
1641,-47.91,489.16,0.00,-0.83,8.46,150.00,0.028,-0.669,0.743,0.9500,0.9500,0.7316,0.8585,0.9443,1.0000,1.0000,1.0000,0.7024,
76,129.19,8.48,0.00,8.48,0.56,150.00,-0.354,-0.126,0.927,0.9500,0.9500,0.8332,0.9482,0.9737,1.0000,1.0000,1.0000,0.7056,
584,201.34,189.81,0.00,6.19,5.83,150.00,-0.377,-0.442,0.814,0.9500,0.9500,0.7829,0.9012,0.9626,1.0000,1.0000,1.0000,0.7023,
1345,-174.07,396.32,0.00,-3.42,7.78,150.00,0.195,-0.617,0.763,0.9500,0.9500,0.7370,0.8603,0.9493,1.0000,1.0000,1.0000,0.6988,
403,193.88,133.53,0.00,7.00,4.82,150.00,-0.401,-0.368,0.839,0.9500,0.9500,0.7952,0.9121,0.9660,1.0000,1.0000,1.0000,0.7013,
1439,-108.04,438.80,0.00,-2.03,8.25,150.00,0.106,-0.648,0.754,0.9500,0.9500,0.7371,0.8618,0.9477,1.0000,1.0000,1.0000,0.7000,
1534,32.46,469.83,0.00,0.59,8.48,150.00,-0.064,-0.664,0.745,0.9500,0.9500,0.7376,0.8639,0.9460,1.0000,1.0000,1.0000,0.7013,
993,146.69,333.99,0.00,3.42,7.78,150.00,-0.235,-0.589,0.773,0.9500,0.9500,0.7603,0.8841,0.9552,0.9976,1.0000,1.0000,0.7076,
813,-216.41,250.24,0.00,-5.56,6.43,150.00,0.314,-0.506,0.803,0.9500,0.9500,0.7543,0.8724,0.9580,1.0000,1.0000,1.0000,0.7002,
1532,-32.46,469.83,0.00,-0.59,8.48,150.00,0.012,-0.665,0.747,0.9500,0.9500,0.7361,0.8622,0.9460,1.0000,1.0000,1.0000,0.7013,
1533,0.00,470.95,0.00,0.00,8.50,150.00,-0.026,-0.665,0.746,0.9500,0.9500,0.7370,0.8631,0.9460,1.0000,1.0000,1.0000,0.7016,
1445,77.54,445.21,0.00,1.46,8.37,150.00,-0.119,-0.652,0.749,0.9500,0.9500,0.7420,0.8676,0.9477,1.0000,1.0000,1.0000,0.7017,
906,211.95,275.78,0.00,5.18,6.74,150.00,-0.340,-0.522,0.782,0.9500,0.9500,0.7634,0.8843,0.9566,1.0000,1.0000,1.0000,0.7046,
1254,-179.98,374.17,0.00,-3.68,7.66,150.00,0.210,-0.605,0.768,0.9500,0.9500,0.7401,0.8625,0.9508,1.0000,1.0000,1.0000,0.6994,
445,-200.30,153.55,0.00,-6.75,5.17,150.00,0.355,-0.402,0.844,0.9500,0.9500,0.7751,0.8903,0.9646,1.0000,1.0000,1.0000,0.6996,
1356,146.34,407.38,0.00,2.87,8.00,150.00,-0.209,-0.623,0.754,0.9500,0.9500,0.7459,0.8706,0.9493,1.0000,1.0000,1.0000,0.7017,
1438,-138.03,430.31,0.00,-2.60,8.09,150.00,0.142,-0.639,0.756,0.9500,0.9500,0.7355,0.8600,0.9477,1.0000,1.0000,1.0000,0.7009,
1086,188.50,331.29,0.00,4.20,7.39,150.00,-0.286,-0.571,0.769,0.9500,0.9500,0.7566,0.8790,0.9537,1.0000,1.0000,1.0000,0.7068,
507,-201.48,171.43,0.00,-6.47,5.51,150.00,0.345,-0.426,0.836,0.9500,0.9500,0.7710,0.8878,0.9636,0.9986,1.0000,1.0000,0.7009,
1440,-77.54,445.21,0.00,-1.46,8.37,150.00,0.068,-0.655,0.753,0.9500,0.9500,0.7385,0.8634,0.9477,1.0000,1.0000,1.0000,0.7017,
1162,-184.58,352.10,0.00,-3.95,7.53,150.00,0.225,-0.592,0.774,0.9500,0.9500,0.7434,0.8650,0.9523,1.0000,1.0000,1.0000,0.6998,
645,200.45,209.23,0.00,5.88,6.14,150.00,-0.364,-0.465,0.807,0.9500,0.9500,0.7795,0.8983,0.9615,1.0000,1.0000,1.0000,0.7042,
402,179.30,152.55,0.00,6.47,5.51,150.00,-0.371,-0.403,0.836,0.9500,0.9500,0.7978,0.9152,0.9660,1.0000,1.0000,1.0000,0.7048,
1444,46.67,449.49,0.00,0.88,8.45,150.00,-0.082,-0.657,0.749,0.9500,0.9500,0.7417,0.8673,0.9477,1.0000,1.0000,1.0000,0.7028,
981,-146.69,333.99,0.00,-3.42,7.78,150.00,0.187,-0.595,0.782,0.9500,0.9500,0.7434,0.8747,0.9552,0.9859,1.0000,1.0000,0.7076,
1355,117.92,416.49,0.00,2.32,8.18,150.00,-0.173,-0.634,0.754,0.9500,0.9500,0.7462,0.8709,0.9493,1.0000,1.0000,1.0000,0.7025,
1354,88.93,423.63,0.00,1.75,8.32,150.00,-0.137,-0.643,0.753,0.9500,0.9500,0.7462,0.8710,0.9493,1.0000,1.0000,1.0000,0.7028,
1266,153.76,385.69,0.00,3.15,7.90,150.00,-0.224,-0.612,0.759,0.9500,0.9500,0.7497,0.8736,0.9508,1.0000,1.0000,1.0000,0.7025,
1441,-46.67,449.49,0.00,-0.88,8.45,150.00,0.031,-0.659,0.752,0.9500,0.9500,0.7396,0.8648,0.9477,1.0000,1.0000,1.0000,0.7028,
333,-189.95,107.87,0.00,-7.39,4.20,150.00,0.369,-0.333,0.868,0.9500,0.9500,0.7850,0.8992,0.9673,1.0000,1.0000,1.0000,0.7002,
1443,15.58,451.64,0.00,0.29,8.49,150.00,-0.044,-0.660,0.750,0.9500,0.9500,0.7413,0.8667,0.9477,1.0000,1.0000,1.0000,0.7034,
1346,-146.34,407.38,0.00,-2.87,8.00,150.00,0.159,-0.629,0.761,0.9500,0.9500,0.7389,0.8624,0.9493,1.0000,1.0000,1.0000,0.7018,
201,-164.58,78.72,0.00,-7.67,3.67,150.00,0.349,-0.287,0.892,0.9500,0.9500,0.8009,0.9148,0.9700,1.0000,1.0000,1.0000,0.7007,
1442,-15.58,451.64,0.00,-0.29,8.49,150.00,-0.007,-0.661,0.751,0.9500,0.9500,0.7405,0.8658,0.9477,1.0000,1.0000,1.0000,0.7034,
104,-144.03,26.46,0.00,-8.36,1.54,150.00,0.335,-0.173,0.926,0.9500,0.9500,0.8129,0.9261,0.9726,1.0000,1.0000,1.0000,0.7037,
